,prn,sqrt_semi_major_axis,essentricity,inclination,OMEGA,omega,mean_anomaly
0,2,2.6559695802455137,0.0172140288632,54.30150406436731,54.602372981621826,248.63857073731583,181.1662373879067
1,2,2.655966894761877,0.0172151542502,54.30159048181538,54.59895023144836,248.64147297080228,241.33676237397023
2,2,2.6559633442677217,0.0172152228188,54.30150766855832,54.595503341417086,248.6474722342582,301.5043376014171
3,2,2.6559626109717773,0.0172149854479,54.301506914202086,54.59177280776989,248.64857059893512,1.67705001309427
4,2,2.655964657519544,0.0172154736938,54.30219364353905,54.56663271414579,248.6665113083825,62.740979930238154
5,2,2.655966159507071,0.017215379164599996,54.30245281200224,54.56299941057699,248.6690943596863,123.04574696360156
6,2,2.6559682473366104,0.0172144249082,54.302607961009045,54.559611948243884,248.67087040108163,183.21741364872418
7,2,2.6559671640997116,0.0172148295678,54.3027603440048,54.55619699321853,248.6722895407638,243.38945148515506
8,2,2.655963562491931,0.0172147183912,54.30275229738553,54.552749265007286,248.67836046978073,303.55694532394716
9,2,2.6559652433711087,0.0172138507478,54.304062724112974,54.52407385224902,248.69365241367586,64.7972240577575
10,2,2.6559662047145096,0.0172136857873,54.304406549783295,54.520486313856,248.69528319709207,125.10291519584108
11,2,2.655967858074254,0.0172129329294,54.30464023726635,54.517137911201694,248.69672790157816,185.27489880110892
12,2,2.6559681687028496,0.0172127957921,54.30486009457955,54.51377115212556,248.69645381346587,245.44860187004346
13,2,2.65596541440898,0.0172124791425,54.304923210292465,54.51035167090551,248.7010170894156,305.61751753087697
14,2,2.6559681588697646,0.0172115234891,54.306805366679995,54.482108345273,248.7122053371217,66.86110845772677
15,2,2.6559679524471305,0.0172113224398,54.30722362363591,54.478595908755366,248.71178858882095,127.16871511174878
16,2,2.6559691791916005,0.0172108017141,54.30752537214519,54.47531464512361,248.71319490456176,187.34062403425986
17,2,2.655969735554706,0.017210685880900002,54.30779560470989,54.472030196362184,248.7121208476193,247.51502992588448
18,2,2.65596877027331,0.0172102558427,54.307903563594884,54.46866050362754,248.71353931694088,307.68694345837685
19,2,2.655973286053133,0.0172106585233,54.310130802951335,54.44099527785719,248.72341504324314,68.93044838706913
20,2,2.655971355499532,0.0172105645761,54.31058887394229,47.53828587014089,248.72001668445597,129.2408074902319
21,2,2.655972552755816,0.0172100894852,54.31092347951848,47.53508255816201,248.7218031193057,189.4121332001492
22,2,2.655971552089208,0.0172107497929,54.31120905096549,47.53189349547161,248.72190361839478,249.58520687208102
23,2,2.6559729479142504,0.0172104020603,54.311319189152755,47.528578368945546,248.7192433701954,309.761028382906
24,2,2.655979427679822,0.0172132195439,54.31354265661344,47.50147439538527,248.73244930997646,70.99950718722087
25,2,2.6559756884415653,0.0172134391032,54.3139877356718,47.49813755977484,248.72603011314743,131.17889301829825
26,2,2.6559774558332045,0.017212683102099998,54.314304487768496,47.49499074183563,248.72838576323198,191.4831244477152
27,2,2.6559733037506423,0.0172146674013,54.314562315166675,47.49187854120426,248.73188110085556,251.65261829252103
28,2,2.6559769446871266,0.0172146150144,54.314629957074274,47.48860280959461,248.7254589704826,311.83205391277136
29,2,2.65598472984993,0.017219792353000002,54.31649006902524,47.461869902925734,248.745635301086,73.06200907555386
30,2,2.6559798031828614,0.0172204598784,54.316871110367,47.458580257379815,248.7374192753799,133.2429465651489
31,2,2.655982510287317,0.0172191859456,54.3171202205561,47.4554604291905,248.74004079965374,193.54670500358202
32,2,2.6559747703455856,0.017222480732,54.31731401012309,47.452380331269794,248.74811709871534,253.711453769492
33,2,2.6559798621608874,0.0172228449956,54.317308310453534,47.44911331686922,248.73944031983095,313.89305502175455
34,2,2.6559876257033452,0.017229213845,54.318560231486494,47.42244780063678,248.76648193214913,75.24885029513457
35,2,2.655982638076543,0.0172302712454,54.31884479710609,47.41917056031467,248.75850562911972,135.29568940430502
36,2,2.655986090293638,0.0172285411973,54.31899877269534,47.416032543408264,248.7607220561896,195.59974623858494
37,2,2.655975824095045,0.0172325475141,54.31911109018487,47.41293224505836,248.77272225900296,255.76047219333077
38,2,2.655981212759934,0.0172332966467,54.319024002204294,47.409638911497694,248.76384909253176,315.9422539081047
39,2,2.6559876080057894,0.0172393124085,54.3196178600101,47.382757477495254,248.79384683418434,77.16110313292285
40,2,2.6559836957649314,0.0172405118356,54.31980930268467,47.3794400878432,248.78799593070104,137.33951523884318
41,2,2.6559871813885243,0.0172386894701,54.319871496451185,47.37624716949061,248.7892144079583,197.64458519428513
42,2,2.6559763902919475,0.0172425538767,54.31990804153283,47.3730873596188,248.8029261119091,257.80358715913246
43,2,2.6559810063367912,0.0172435224522,54.3197534792348,47.36973945984956,248.79566805444773,317.98380254766914
44,2,2.6559853412656884,0.017248137039099998,54.31982933546642,47.34243297951323,248.82316731852364,79.20555006688893
45,2,2.6559831217028216,0.0172491774429,54.319953639061154,47.33906454407717,248.8203053175606,139.38106656099603
46,2,2.655985807194662,0.017247726675099998,54.319952968528646,47.33579970897887,248.82038863364545,199.68738315628977
47,2,2.6559764433741986,0.0172507689567,54.319937964941225,47.332565300174025,248.8331610615266,259.84739061451205
48,2,2.6559820581188034,0.0172548352275,54.31955910290173,47.30135436170052,248.84943452681551,81.25424310570399
